date,EUR,USD,JPY,GBP,SGD,AUD,CNY,CAD,MYR,RUB
2013-06-14,13185.512893,9883.99232,104.657964,15499.682165,7893.049511,9466.428173,1610.18246,9713.710967,3168.149343,310.518568
2013-06-15,13186.161138,9882.76405,104.764565,15517.710129,7897.36619,9466.158418,1610.189592,9715.463764,3171.201495,311.100508
2013-06-16,13103.78347,9818.92703,104.254041,15424.498146,7848.737055,9405.102519,1599.728738,9651.948324,3152.366148,308.961039
2013-06-17,13224.186247,9900.02255,104.708914,15560.445987,7893.810589,9470.080878,1614.208681,9728.126554,3163.88657,312.101423
2013-06-18,13261.625705,9903.64946,103.963163,15493.819556,7860.101636,9386.099911,1614.381522,9706.510237,3144.504847,309.858843
2013-06-19,13191.34186,9906.03817,103.363227,15371.306028,7833.832735,9244.242826,1614.505092,9669.238519,3143.31712,306.479077
2013-06-20,13110.007736,9914.18115,102.172103,15364.629994,7799.686217,9123.619519,1615.247822,9591.058393,3107.182729,302.786604
2013-06-21,13038.543667,9917.76824,101.468818,15308.741591,7777.299791,9146.53261,1614.041454,9522.032567,3098.160128,302.204402
2013-06-22,13022.579012,9920.34024,101.456788,15298.307128,7775.414419,9150.845631,1614.305025,9494.238803,3096.545298,302.104556
2013-06-23,12911.741947,9840.94236,100.277994,15163.473027,7717.296664,9084.058598,1601.327536,9397.475492,3064.788011,300.045745
2013-06-24,13019.373568,9923.23634,101.470177,15302.773247,7774.028438,9162.560562,1612.315297,9452.681838,3081.626003,301.842535
2013-06-25,12985.854906,9918.33626,101.314244,15296.63211,7798.783013,9189.345483,1611.02965,9443.426349,3106.965927,302.37733
2013-06-26,12914.735185,9920.58298,101.536062,15206.755235,7793.502376,9209.943722,1605.261937,9465.482578,3098.439309,301.416086
2013-06-27,12931.141209,9920.25429,100.977968,15142.421031,7823.544393,9214.600206,1603.612933,9473.032429,3119.586631,302.334139
2013-06-28,12918.707994,9919.75912,100.295841,15104.085389,7829.204843,9094.272046,1606.698918,9449.819592,3134.670589,302.21718
2013-06-29,12908.264913,9919.74342,100.074144,15088.898147,7828.75993,9070.972521,1607.276911,9439.643168,3137.967677,302.121527
2013-06-30,12805.545848,9841.19004,99.130977,14964.858186,7759.844538,8992.890664,1598.820856,9357.856739,3112.006034,299.675666
2013-07-01,12954.783369,9921.0322,99.662651,15098.896921,7839.057041,9146.843377,1615.019453,9442.217358,3133.874608,301.425888
2013-07-02,12891.085232,9923.29959,98.987615,15049.211529,7815.591007,9085.02439,1615.370148,9422.136167,3133.15576,299.77511
2013-07-03,12907.900212,9933.01645,99.394513,15164.910611,7808.177191,9024.764183,1617.494321,9448.497498,3121.254046,299.800117
2013-07-04,12842.144307,9930.57335,99.187175,15005.626181,7799.390026,9072.911067,1617.736627,9437.28639,3119.604103,298.574423
2013-07-05,12756.494555,9933.22718,98.639164,14816.203302,7768.952416,9028.56497,1612.133846,9409.316441,3115.847132,298.182553
2013-07-06,12744.757092,9933.13623,98.294046,14792.459017,7758.98972,9005.236646,1611.988275,9395.702072,3114.909916,297.870709
2013-07-07,12745.919929,9934.55237,98.06655,14789.061958,7755.007509,9003.663591,1614.489681,9392.865799,3112.991605,297.814848
